Commodity,Country,Procurement Price,Port,SeaTransport Price,Warehouse,Port to Warehouse Price,Camp,Warehouse to Camp Price,Port Handling Cost,Warehouse Handling Cost,Total Cost
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<MEKELE>,74.45076,MAI-AINI,30.20080523,23.45,16.5796,1371.193048
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<MEKELE>,74.45076,HITSATS,37.16577755,23.45,16.5796,1378.158021
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<MEKELE>,74.45076,BERHALE,20.02053347,23.45,16.5796,1361.012776
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<MEKELE>,74.45076,DALLOL,37.17664821,23.45,16.5796,1378.168891
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<MEKELE>,74.45076,AYNADIB ,15.35963764,23.45,16.5796,1356.351881
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,Afar,88.4616,23.45,11.71432,1412.351983
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,Amhara,50.713,23.45,11.71432,1374.603383
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,Benshangul,58.3692,23.45,11.71432,1382.259583
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,Gambella,46.77985,23.45,11.71432,1370.670233
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,Oromiya,63.8685,23.45,11.71432,1387.758883
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,SNNPR,50.1005,23.45,11.71432,1373.990883
RICE,AUSTRALIA,931.511883,DJIBOUTI (DJIBOUTI),295,<NAZARETH>,62.21418,Somali,102.1260884,23.45,11.71432,1426.016471
